State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Surat,"Surat APMC",Brinjal,Brinjal,FAQ,08/12/2025,4000,7500,5750
Gujarat,Surat,"Surat APMC","French Beans(Frasbean)",Other,FAQ,08/12/2025,1500,4500,3000
Gujarat,Surat,"Surat APMC",Potato,Other,FAQ,08/12/2025,400,2500,1450
Gujarat,Surat,"Surat APMC",Capsicum,Other,FAQ,08/12/2025,3500,6500,5000
Gujarat,Surat,"Surat APMC",Cowpea(Veg),"Cowpea (Veg)",FAQ,08/12/2025,1500,4500,3000
Gujarat,Surat,"Surat APMC",Pumpkin,Other,FAQ,08/12/2025,1000,2100,1550
Gujarat,Surat,"Surat APMC","Rat Tail Radish(Mogari)",Other,FAQ,08/12/2025,6000,19000,12500
Gujarat,Surat,"Surat APMC",Yam(Ratalu),Other,FAQ,08/12/2025,3500,5500,4500
Kerala,Kannur,"Kannur APMC","Coconut Oil",Other,"Grade Range-1",08/12/2025,38000,39000,38500
Punjab,Faridkot,"Kotkapura APMC",Paddy(Basmati),"Basmati 1509",Local,08/12/2025,2750,3750,3450
Punjab,Ludhiana,"Khanna APMC",Brinjal,Round/Long,"Grade A",08/12/2025,1200,1200,1200
Punjab,Ludhiana,"Khanna APMC",Cucumbar(Kheera),Cucumbar,"Grade A",08/12/2025,1500,1500,1500
Punjab,Ludhiana,"Khanna APMC","Green Chilli","Green Chilly","Grade A",08/12/2025,2500,2500,2500
Punjab,Ludhiana,"Khanna APMC",Papaya,Papaya,"Grade A",08/12/2025,1500,1500,1500
Rajasthan,Churu,"Sadulpur APMC","Green Gram(Moong)(Whole)",Other,Local,08/12/2025,3500,6500,5000
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC",Brinjal,Brinjal,FAQ,08/12/2025,3800,4200,4000
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC",Cabbage,Cabbage,FAQ,08/12/2025,1800,2200,2000
"Jammu and Kashmir",Rajouri,"Rajouri (F&V) APMC",Orange,Nagpuri,"Grade B",08/12/2025,7500,7700,7600
"Jammu and Kashmir",Rajouri,"Rajouri (F&V) APMC","Bitter gourd","Bitter Gourd","Grade B",08/12/2025,6500,6700,6600
